№	Пункт ГОСТ 25010-2015	Настоящий стандарт	Функциональная надежность
1	2	3	4
1	4.1.2	Производительность	Нагрузочное тестирование функциональной части программы соответствие с обычным тестированием в категории времени отклика сервера
2	4.1.4	Свобода от риска	Программа защищена от критических ошибок, приводящих к выходу из приложения
4	4.2.1	Функциональная пригодность	Решение полностью раскрывает представленную в теме проблему управлением интернет-магазином одежды
6	4.2.3	Совместимость	Программа не вызывает конфликтов с другими программами, а также работает на нескольких операционных системах и веб-браузерах
7	4.2.4	Удобство использования	Для удобства использования реализованы подсказки, валидация полей, адаптивный интерфейс и справочная информация внутри программы
8	4.2.5	Надежность	Решение предоставляет защиту всех данных пользователя и обеспечивает целостность данных при их отправке с клиента на сервер, а также резервное копирование базы данных
9	4.2.5.2	Готовность	Программный продукт полностью готов, функционал не нуждается в изменениях
10	4.2.6.1	Конфиденциальность	Данные пользователей шифруются как на стороне клиента, так и на стороне сервера. Номера банковских карт и чувствительные данные автоматически шифруются в базе данных
11	4.2.7	Сопровождаемость	Функционал нуждается в сопровождении двумя квалифицированными в разработке программных продуктов сотрудниками для починки возникающих ошибок. Не реализована система обновления версий для изменения программы
12	4.2.8	Переносимость	Программа подразумевает функционал для переноса данных пользователя с одного устройства на другое через веб-интерфейс

